"","IterYear","AgeInYears","cohortsize"
"10891",2041,0,9821631.48717626
"10892",2041,1,10104839.7953455
"10893",2041,2,9808613.67346345
"10894",2041,3,9700739.14498199
"10895",2041,4,9589912.7732499
"10896",2041,5,9476461.39264109
"10897",2041,6,9362666.8666699
"10898",2041,7,9420444.62749146
"10899",2041,8,9120993.71170839
"10900",2041,9,8998629.81906939
"10901",2041,10,8875248.27844594
"10902",2041,11,8751298.89776895
"10903",2041,12,8629602.37364648
"10904",2041,13,8667919.81964483
"10905",2041,14,8380426.20328793
"10906",2041,15,8258756.4369912
"10907",2041,16,8138909.76292976
"10908",2041,17,8023351.65510308
"10909",2041,18,8058290.0709675
"10910",2041,19,7791830.21143204
"10911",2041,20,7680956.78564865
"10912",2041,21,7573434.58410888
"10913",2041,22,7469486.41486096
"10914",2041,23,7370527.40678251
"10915",2041,24,7410376.63112336
"10916",2041,25,7171374.4448594
"10917",2041,26,7071055.47978182
"10918",2041,27,6966821.21220988
"10919",2041,28,6857122.17809022
"10920",2041,29,6871881.83382631
"10921",2041,30,6619673.32296831
"10922",2041,31,6493304.98608425
"10923",2041,32,6363939.40614585
"10924",2041,33,6233579.75697683
"10925",2041,34,6106331.30688622
"10926",2041,35,6091336.46192397
"10927",2041,36,5848207.34631308
"10928",2041,37,5721548.12649812
"10929",2041,38,5594774.18872938
"10930",2041,39,5467860.70970947
"10931",2041,40,5343803.58356025
"10932",2041,41,5317321.15712583
"10933",2041,42,5092878.84067007
"10934",2041,43,4972411.22747019
"10935",2041,44,4855437.86082199
"10936",2041,45,4744797.91658489
"10937",2041,46,4724724.80184113
"10938",2041,47,4532004.72304736
"10939",2041,48,4433864.81535204
"10940",2041,49,4340116.69016556
"10941",2041,50,4250556.95317557
"10942",2041,51,4166670.24226725
"10943",2041,52,4162472.1271388
"10944",2041,53,4004531.64319085
"10945",2041,54,3927868.60558181
"10946",2041,55,3852445.54483867
"10947",2041,56,3777383.06518378
"10948",2041,57,3773790.46486999
"10949",2041,58,3625793.55258456
"10950",2041,59,3548286.58376175
"10951",2041,60,3468929.57074953
"10952",2041,61,3387331.38136997
"10953",2041,62,3305239.60472633
"10954",2041,63,3280801.26421894
"10955",2041,64,3131874.61756069
"10956",2041,65,3045036.29355843
"10957",2041,66,2958194.06653272
"10958",2041,67,2871993.48545511
"10959",2041,68,2788791.6574096
"10960",2041,69,2757449.40484787
"10961",2041,70,2625868.56100256
"10962",2041,71,2551637.59567651
"10963",2041,72,2483018.56610356
"10964",2041,73,2421367.07751197
"10965",2041,74,2409040.2293889
"10966",2041,75,2311251.776024
"10967",2041,76,2263653.22666607
"10968",2041,77,2219410.90927765
"10969",2041,78,2177181.05084641
"10970",2041,79,2136737.64397659
"10971",2041,80,2135585.30077446
"10972",2041,81,2054113.78819119
"10973",2041,82,2013654.54038489
"10974",2041,83,1973798.99639808
"10975",2041,84,1934866.10984306
"10976",2041,85,1933885.70049057
"10977",2041,86,1860721.60181894
"10978",2041,87,1825708.52286102
"10979",2041,88,1792084.91276895
"10980",2041,89,1759889.09873625
"10981",2041,90,1590841.98079329
"10982",2041,91,1246319.04774626
"10983",2041,92,1245675.93457998
"10984",2041,93,1245028.30722039
"10985",2041,94,1244387.20350055
"10986",2041,95,1141616.7019119
"10987",2041,96,997992.56782867
"10988",2041,97,997340.584047909
"10989",2041,98,996684.23559595
"10990",2041,99,996028.512570605
"10991",2041,100,938669.729946976
"10992",2041,101,858691.262670851
"10993",2041,102,858127.347370646
"10994",2041,103,857556.083412148
"10995",2041,104,856986.180288781
"10996",2041,105,809392.701021453
"10997",2041,106,743048.986643365
"10998",2041,107,742553.719861648
"10999",2041,108,742056.523192659
"11000",2041,109,741559.344700497
"11001",2041,110,700714.047202083
"11002",2041,111,643781.033237391
"11003",2041,112,643361.296453646
"11004",2041,113,642943.520784815
"11005",2041,114,642525.55626989
"11006",2041,115,606806.027265388
"11007",2041,116,557005.127679709
"11008",2041,117,556643.015685688
"11009",2041,118,556281.387787254
"11010",2041,119,555919.91489171
"11011",2041,120,11864942.8197389
"11012",2042,0,9917968.80086393
"11013",2042,1,10014759.7265471
"11014",2042,2,10104638.3882138
"11015",2042,3,9808418.17126611
"11016",2042,4,9700545.79470603
"11017",2042,5,9589771.48939513
"11018",2042,6,9476367.00540033
"11019",2042,7,9362573.64877242
"11020",2042,8,9420350.86248776
"11021",2042,9,9120902.9587854
"11022",2042,10,8998540.41345267
"11023",2042,11,8875160.30942752
"11024",2042,12,8751212.47616118
"11025",2042,13,8629517.55755747
"11026",2042,14,8667835.01728093
"11027",2042,15,8380344.77809785
"11028",2042,16,8258676.84717222
"11029",2042,17,8138831.91798516
"11030",2042,18,8023275.26029275
"11031",2042,19,8058213.4579022
"11032",2042,20,7791758.88814137
"11033",2042,21,7680888.52205957
"11034",2042,22,7573367.88373324
"11035",2042,23,7469421.63073937
"11036",2042,24,7370464.34526143
"11037",2042,25,7410275.68785507
"11038",2042,26,7171243.50591169
"11039",2042,27,7070926.88513465
"11040",2042,28,6966694.68702206
"11041",2042,29,6856997.71870353
"11042",2042,30,6871757.15915772
"11043",2042,31,6619553.27149838
"11044",2042,32,6493187.35690496
"11045",2042,33,6363824.22839869
"11046",2042,34,6233466.95412208
"11047",2042,35,6106220.80914899
"11048",2042,36,6091226.23682524
"11049",2042,37,5848101.52366063
"11050",2042,38,5721444.60268265
"11051",2042,39,5594672.96668401
"11052",2042,40,5467733.74643482
"11053",2042,41,5343653.65189176
"11054",2042,42,5317171.97021191
"11055",2042,43,5092735.95672801
"11056",2042,44,4972271.72636609
"11057",2042,45,4855301.64183215
"11058",2042,46,4744664.8017192
"11059",2042,47,4724592.250346
